#,Series,Episode,Name,Original Air Date,Watched,Drift Audit
61,Constantine,S01E04,A Feast of Friends,"November 14, 2014",TRUE,
62,The Flash,S01E06,The Flash is Born,"November 18, 2014",TRUE,
63,Arrow,S03E07,Draw Back Your Bow,"November 19, 2014",TRUE,
64,Constantine,S01E05,Danse Vaudou,"November 21, 2014",TRUE,
65,The Flash,S01E07,Power Outage,"November 25, 2014",TRUE,
66,Constantine,S01E06,Rage of Caliban,"November 28, 2014",TRUE,
67,The Flash,S01E08,Flash vs. Arrow,"December 02, 2014",TRUE,
68,Arrow,S03E08,The Brave and the Bold,"December 03, 2014",TRUE,
69,Constantine,S01E07,Blessed Are the Damned,"December 05, 2014",TRUE,
70,The Flash,S01E09,The Man in the Yellow Suit,"December 09, 2014",TRUE,
71,Arrow,S03E09,The Climb,"December 10, 2014",TRUE,
72,Constantine,S01E08,The Saint of Last Resorts,"December 12, 2014",TRUE,
73,Constantine,S01E09,The Saint of Last Resorts: Part 2,"January 16, 2015",TRUE,
74,The Flash,S01E10,Revenge of the Rogues,"January 20, 2015",TRUE,
75,Arrow,S03E10,Left Behind,"January 21, 2015",TRUE,
76,Constantine,S01E10,Quid Pro Quo,"January 23, 2015",TRUE,
77,The Flash,S01E11,The Sound and the Fury,"January 27, 2015",TRUE,
78,Arrow,S03E11,Midnight City,"January 28, 2015",TRUE,
79,Constantine,S01E11,A Whole World Out There,"January 30, 2015",TRUE,
80,The Flash,S01E12,Crazy for You,"February 03, 2015",TRUE,
81,Arrow,S03E12,Uprising,"February 04, 2015",TRUE,
82,Constantine,S01E12,Angels and Ministers of Grace,"February 06, 2015",TRUE,
83,The Flash,S01E13,The Nuclear Man,"February 10, 2015",TRUE,
84,Arrow,S03E13,Canaries,"February 11, 2015",TRUE,
85,Constantine,S01E13,Waiting for the Man,"February 13, 2015",TRUE,
86,The Flash,S01E14,Fallout,"February 17, 2015",TRUE,
87,Arrow,S03E14,The Return,"February 18, 2015",TRUE,
88,Arrow,S03E15,Nanda Parbat,"February 25, 2015",TRUE,
89,The Flash,S01E15,Out of Time,"March 17, 2015",TRUE,
90,Arrow,S03E16,The Offer,"March 18, 2015",TRUE,
91,The Flash,S01E16,Rogue Time,"March 24, 2015",TRUE,
92,Arrow,S03E17,Suicidal Tendencies,"March 25, 2015",TRUE,
93,The Flash,S01E17,Tricksters,"March 31, 2015",TRUE,
94,Arrow,S03E18,Public Enemy,"April 01, 2015",TRUE,
95,The Flash,S01E18,All Star Team Up,"April 14, 2015",TRUE,
96,Arrow,S03E19,Broken Arrow,"April 15, 2015",TRUE,
97,The Flash,S01E19,Who is Harrison Wells?,"April 21, 2015",TRUE,
98,Arrow,S03E20,The Fallen,"April 22, 2015",TRUE,
99,The Flash,S01E20,The Trap,"April 28, 2015",TRUE,
100,Arrow,S03E21,Al Sah-him,"April 29, 2015",TRUE,
101,The Flash,S01E21,Grodd Lives,"May 05, 2015",TRUE,
102,Arrow,S03E22,This Is Your Sword,"May 06, 2015",TRUE,
103,The Flash,S01E22,Rogue Air,"May 12, 2015",TRUE,
104,Arrow,S03E23,My Name Is Oliver Queen,"May 13, 2015",TRUE,
105,The Flash,S01E23,Fast Enough,"May 19, 2015",TRUE,
106,Vixen,S01E01,Episode 1,"August 25, 2015",TRUE,
107,Vixen,S01E02,Episode 2,"September 01, 2015",TRUE,
108,Vixen,S01E03,Episode 3,"September 08, 2015",TRUE,
109,Vixen,S01E04,Episode 4,"September 15, 2015",TRUE,
110,Vixen,S01E05,Episode 5,"September 22, 2015",TRUE,
111,Vixen,S01E06,Episode 6,"September 29, 2015",TRUE,
112,The Flash,S02E01,The Man Who Saved Central City,"October 06, 2015",TRUE,
113,Arrow,S04E01,Green Arrow,"October 07, 2015",TRUE,
114,The Flash,S02E02,Flash of Two Worlds,"October 13, 2015",TRUE,
115,Arrow,S04E02,The Candidate,"October 14, 2015",TRUE,
116,The Flash,S02E03,Family of Rogues,"October 20, 2015",TRUE,
117,Arrow,S04E03,Restoration,"October 21, 2015",TRUE,
118,Supergirl,S01E01,Pilot,"October 26, 2015",TRUE,
119,The Flash,S02E04,The Fury of Firestorm,"October 27, 2015",TRUE,
120,Arrow,S04E04,Beyond Redemption,"October 28, 2015",TRUE,
121,Supergirl,S01E02,Stronger Together,"November 02, 2015",TRUE,
122,The Flash,S02E05,The Darkness and the Light,"November 03, 2015",TRUE,
123,Arrow,S04E05,Haunted,"November 04, 2015",TRUE,
124,Supergirl,S01E03,Fight or Flight,"November 09, 2015",TRUE,
125,The Flash,S02E06,Enter Zoom,"November 10, 2015",TRUE,
126,Arrow,S04E06,Lost Souls,"November 11, 2015",TRUE,
127,Supergirl,S01E04,Livewire,"November 16, 2015",TRUE,
128,The Flash,S02E07,Gorilla Warfare,"November 17, 2015",TRUE,
129,Arrow,S04E07,Brotherhood,"November 18, 2015",TRUE,
130,Supergirl,S01E05,How Does She Do It?,"November 23, 2015",TRUE,
131,Supergirl,S01E06,Red Faced,"November 30, 2015",TRUE,
132,The Flash,S02E08,Legends of Today,"December 01, 2015",TRUE,
133,Arrow,S04E08,Legends of Yesterday,"December 02, 2015",TRUE,
134,Supergirl,S01E07,Human For a Day,"December 07, 2015",TRUE,
135,The Flash,S02E09,Running to Stand Still,"December 08, 2015",TRUE,
136,Arrow,S04E09,Dark Waters,"December 09, 2015",TRUE,
137,Supergirl,S01E08,Hostile Takeover,"December 14, 2015",TRUE,
138,Supergirl,S01E09,Blood Bonds,"January 04, 2016",TRUE,
139,Supergirl,S01E10,Childish Things,"January 18, 2016",TRUE,
140,The Flash,S02E10,Potential Energy,"January 19, 2016",TRUE,
141,Arrow,S04E10,Blood Debts,"January 20, 2016",TRUE,
142,DC's Legends of Tomorrow,S01E01,"Pilot, Part 1","January 21, 2016",TRUE,
143,Supergirl,S01E11,Strange Visitor From Another Planet,"January 25, 2016",TRUE,
144,The Flash,S02E11,The Reverse-Flash Returns,"January 26, 2016",TRUE,
145,Arrow,S04E11,A.W.O.L.,"January 27, 2016",TRUE,
146,DC's Legends of Tomorrow,S01E02,"Pilot, Part 2","January 28, 2016",TRUE,
147,Supergirl,S01E12,Bizarro,"February 01, 2016",TRUE,
148,The Flash,S02E12,Fast Lane,"February 02, 2016",TRUE,
149,Arrow,S04E12,Unchained,"February 03, 2016",TRUE,
150,DC's Legends of Tomorrow,S01E03,Blood Ties,"February 04, 2016",TRUE,
151,Supergirl,S01E13,For the Girl Who Has Everything,"February 08, 2016",TRUE,
152,The Flash,S02E13,Welcome to Earth-2,"February 09, 2016",TRUE,
153,Arrow,S04E13,Sins of the Father,"February 10, 2016",TRUE,
154,DC's Legends of Tomorrow,S01E04,White Knights,"February 11, 2016",TRUE,
155,The Flash,S02E14,Escape from Earth-2,"February 16, 2016",TRUE,
156,Arrow,S04E14,Code of Silence,"February 17, 2016",TRUE,
157,DC's Legends of Tomorrow,S01E05,Fail-Safe,"February 18, 2016",TRUE,
158,Supergirl,S01E14,"Truth, Justice and the American Way","February 22, 2016",TRUE,
159,The Flash,S02E15,King Shark,"February 23, 2016",TRUE,
160,Arrow,S04E15,Taken,"February 24, 2016",TRUE,
161,DC's Legends of Tomorrow,S01E06,Star City 2046,"February 25, 2016",TRUE,
162,Supergirl,S01E15,Solitude,"February 29, 2016",TRUE,
163,DC's Legends of Tomorrow,S01E07,Marooned,"March 03, 2016",TRUE,
164,DC's Legends of Tomorrow,S01E08,Night of the Hawk,"March 10, 2016",TRUE,
165,Supergirl,S01E16,Falling,"March 14, 2016",TRUE,
166,Supergirl,S01E17,Manhunter,"March 21, 2016",TRUE,
167,The Flash,S02E16,Trajectory,"March 22, 2016",TRUE,
168,Arrow,S04E16,Broken Hearts,"March 23, 2016",TRUE,
169,Supergirl,S01E18,Worlds Finest,"March 28, 2016",TRUE,
170,The Flash,S02E17,Flash Back,"March 29, 2016",TRUE,
171,Arrow,S04E17,Beacon of Hope,"March 30, 2016",TRUE,
172,DC's Legends of Tomorrow,S01E09,Left Behind,"March 31, 2016",TRUE,
173,Arrow,S04E18,Eleven-Fifty-Nine,"April 06, 2016",TRUE,
174,DC's Legends of Tomorrow,S01E10,Progeny,"April 07, 2016",TRUE,
175,Supergirl,S01E19,Myriad,"April 11, 2016",TRUE,
176,DC's Legends of Tomorrow,S01E11,The Magnificent Eight,"April 14, 2016",TRUE,
177,Supergirl,S01E20,Better Angels,"April 18, 2016",TRUE,
178,The Flash,S02E18,Versus Zoom,"April 19, 2016",TRUE,
179,DC's Legends of Tomorrow,S01E12,Last Refuge,"April 21, 2016",TRUE,
180,The Flash,S02E19,Back to Normal,"April 26, 2016",TRUE,
181,Arrow,S04E19,Canary Cry,"April 27, 2016",TRUE,
182,DC's Legends of Tomorrow,S01E13,Leviathan,"April 28, 2016",TRUE,
183,The Flash,S02E20,Rupture,"May 03, 2016",TRUE,
184,Arrow,S04E20,Genesis,"May 04, 2016",TRUE,
185,DC's Legends of Tomorrow,S01E14,River of Time,"May 05, 2016",TRUE,
186,The Flash,S02E21,The Runaway Dinosaur,"May 10, 2016",TRUE,
187,Arrow,S04E21,Monument Point,"May 11, 2016",TRUE,
188,DC's Legends of Tomorrow,S01E15,Destiny,"May 12, 2016",TRUE,
189,The Flash,S02E22,Invincible,"May 17, 2016",TRUE,
190,Arrow,S04E22,Lost in the Flood,"May 18, 2016",TRUE,
191,DC's Legends of Tomorrow,S01E16,Legendary,"May 19, 2016",TRUE,
192,The Flash,S02E23,The Race of His Life,"May 24, 2016",TRUE,
193,Arrow,S04E23,Schism,"May 25, 2016",TRUE,
194,The Flash,S03E01,Flashpoint,"October 04, 2016",TRUE,
195,Arrow,S05E01,Legacy,"October 05, 2016",TRUE,
196,Supergirl,S02E01,The Adventures of Supergirl,"October 10, 2016",TRUE,
197,The Flash,S03E02,Paradox,"October 11, 2016",TRUE,
198,Arrow,S05E02,The Recruits,"October 12, 2016",TRUE,
199,DC's Legends of Tomorrow,S02E01,Out of Time,"October 13, 2016",TRUE,
200,Vixen,S02E01,Episode 1,"October 13, 2016",TRUE,
201,Supergirl,S02E02,The Last Children of Krypton,"October 17, 2016",TRUE,
202,The Flash,S03E03,Magenta,"October 18, 2016",TRUE,
203,Arrow,S05E03,A Matter of Trust,"October 19, 2016",TRUE,
204,DC's Legends of Tomorrow,S02E02,The Justice Society of America,"October 20, 2016",TRUE,
205,Vixen,S02E02,Episode 2,"October 21, 2016",TRUE,
206,Supergirl,S02E03,Welcome to Earth,"October 24, 2016",TRUE,
207,The Flash,S03E04,The New Rogues,"October 25, 2016",TRUE,
208,Arrow,S05E04,Penance,"October 26, 2016",TRUE,
209,DC's Legends of Tomorrow,S02E03,Shogun,"October 27, 2016",TRUE,
210,Vixen,S02E03,Episode 3,"October 28, 2016",TRUE,
211,Supergirl,S02E04,Survivors,"October 31, 2016",TRUE,
212,The Flash,S03E05,Monster,"November 01, 2016",TRUE,
213,Arrow,S05E05,Human Target,"November 02, 2016",TRUE,
214,DC's Legends of Tomorrow,S02E04,Abominations,"November 03, 2016",TRUE,
215,Vixen,S02E04,Episode 4,"November 04, 2016",TRUE,
216,Supergirl,S02E05,Crossfire,"November 07, 2016",TRUE,
217,Arrow,S05E06,So It Begins,"November 09, 2016",TRUE,
218,DC's Legends of Tomorrow,S02E05,Compromised,"November 10, 2016",TRUE,
219,Vixen,S02E05,Episode 5,"November 11, 2016",TRUE,
220,Supergirl,S02E06,Changing,"November 14, 2016",TRUE,
221,The Flash,S03E06,Shade,"November 15, 2016",TRUE,
222,Arrow,S05E07,Vigilante,"November 16, 2016",TRUE,
223,DC's Legends of Tomorrow,S02E06,Outlaw Country,"November 17, 2016",TRUE,
224,Vixen,S02E06,Episode 6,"November 18, 2016",TRUE,
225,Supergirl,S02E07,The Darkest Place,"November 21, 2016",TRUE,
226,The Flash,S03E07,Killer Frost,"November 22, 2016",TRUE,
227,Supergirl,S02E08,Medusa,"November 28, 2016",TRUE,
228,The Flash,S03E08,Invasion!,"November 29, 2016",TRUE,
229,Arrow,S05E08,Invasion!,"November 30, 2016",TRUE,
230,DC's Legends of Tomorrow,S02E07,Invasion!,"December 01, 2016",TRUE,
231,The Flash,S03E09,The Present,"December 06, 2016",TRUE,
232,Arrow,S05E09,What We Leave Behind,"December 07, 2016",TRUE,
233,DC's Legends of Tomorrow,S02E08,The Chicago Way,"December 08, 2016",TRUE,
234,Supergirl,S02E09,Supergirl Lives,"January 23, 2017",TRUE,
235,The Flash,S03E10,Borrowing Problems from the Future,"January 24, 2017",TRUE,
236,DC's Legends of Tomorrow,S02E09,Raiders of the Lost Art,"January 24, 2017",TRUE,
237,Arrow,S05E10,Who Are You?,"January 25, 2017",TRUE,
238,Supergirl,S02E10,We Can Be Heroes,"January 30, 2017",TRUE,
239,The Flash,S03E11,Dead or Alive,"January 31, 2017",TRUE,
240,DC's Legends of Tomorrow,S02E10,The Legion of Doom,"January 31, 2017",TRUE,
241,Arrow,S05E11,Second Chances,"February 01, 2017",TRUE,
242,Supergirl,S02E11,The Martian Chronicles,"February 06, 2017",TRUE,
243,The Flash,S03E12,Untouchable,"February 07, 2017",TRUE,
244,DC's Legends of Tomorrow,S02E11,Turncoat,"February 07, 2017",TRUE,
245,Arrow,S05E12,Bratva,"February 08, 2017",TRUE,
246,Supergirl,S02E12,Luthors,"February 13, 2017",TRUE,
247,Arrow,S05E13,Spectre of the Gun,"February 15, 2017",TRUE,
248,Supergirl,S02E13,Mr. & Mrs. Mxyzptlk,"February 20, 2017",TRUE,
249,The Flash,S03E13,Attack on Gorilla City,"February 21, 2017",TRUE,
250,DC's Legends of Tomorrow,S02E12,Camelot/3000,"February 21, 2017",TRUE,
251,Arrow,S05E14,The Sin-Eater,"February 22, 2017",TRUE,
252,Supergirl,S02E14,Homecoming,"February 27, 2017",TRUE,
253,The Flash,S03E14,Attack on Central City,"February 28, 2017",TRUE,
254,Arrow,S05E15,Fighting Fire With Fire,"March 01, 2017",TRUE,
255,Supergirl,S02E15,Exodus,"March 06, 2017",TRUE,
256,The Flash,S03E15,The Wrath of Savitar,"March 07, 2017",TRUE,
257,DC's Legends of Tomorrow,S02E13,Land of the Lost,"March 07, 2017",TRUE,
258,The Flash,S03E16,Into the Speed Force,"March 14, 2017",TRUE,
259,DC's Legends of Tomorrow,S02E14,Moonshot,"March 14, 2017",TRUE,
260,Arrow,S05E16,Checkmate,"March 15, 2017",TRUE,
261,Supergirl,S02E16,Star-Crossed,"March 20, 2017",TRUE,
262,The Flash,S03E17,Duet,"March 21, 2017",TRUE,
263,DC's Legends of Tomorrow,S02E15,Fellowship of the Spear,"March 21, 2017",TRUE,
264,Arrow,S05E17,Kapiushon,"March 22, 2017",TRUE,
265,Supergirl,S02E17,Distant Sun,"March 27, 2017",TRUE,
266,The Flash,S03E18,Abra Kadabra,"March 28, 2017",TRUE,
267,DC's Legends of Tomorrow,S02E16,Doomworld,"March 28, 2017",TRUE,
268,Arrow,S05E18,Disbanded,"March 29, 2017",TRUE,
269,DC's Legends of Tomorrow,S02E17,Aruba,"April 04, 2017",TRUE,
270,Supergirl,S02E18,Ace Reporter,"April 24, 2017",TRUE,
271,The Flash,S03E19,The Once and Future Flash,"April 25, 2017",TRUE,
272,Arrow,S05E19,Dangerous Liaisons,"April 26, 2017",TRUE,
273,Supergirl,S02E19,Alex,"May 01, 2017",TRUE,
274,The Flash,S03E20,I Know Who You Are,"May 02, 2017",TRUE,
275,Arrow,S05E20,Underneath,"May 03, 2017",TRUE,
276,Supergirl,S02E20,City of Lost Children,"May 08, 2017",TRUE,
277,The Flash,S03E21,Cause and Effect,"May 09, 2017",TRUE,
278,Arrow,S05E21,Honor Thy Fathers,"May 10, 2017",TRUE,
279,Supergirl,S02E21,Resist,"May 15, 2017",TRUE,
280,The Flash,S03E22,Infantino Street,"May 16, 2017",TRUE,
281,Arrow,S05E22,Missing,"May 17, 2017",TRUE,
282,Supergirl,S02E22,"Nevertheless, She Persisted","May 22, 2017",TRUE,
283,The Flash,S03E23,Finish Line,"May 23, 2017",TRUE,
284,Arrow,S05E23,Lian Yu,"May 24, 2017",TRUE,
285,Supergirl,S03E01,Girl of Steel,"October 09, 2017",TRUE,
286,The Flash,S04E01,The Flash Reborn,"October 10, 2017",TRUE,
287,DC's Legends of Tomorrow,S03E01,Aruba-Con,"October 10, 2017",TRUE,
288,Arrow,S06E01,Fallout,"October 12, 2017",TRUE,
289,Supergirl,S03E02,Triggers,"October 16, 2017",TRUE,
290,The Flash,S04E02,Mixed Signals,"October 17, 2017",TRUE,
291,DC's Legends of Tomorrow,S03E02,Freakshow,"October 17, 2017",TRUE,
292,Arrow,S06E02,Tribute,"October 19, 2017",TRUE,
293,Supergirl,S03E03,Far From the Tree,"October 23, 2017",TRUE,
294,The Flash,S04E03,Luck Be a Lady,"October 24, 2017",TRUE,
295,DC's Legends of Tomorrow,S03E03,Zari,"October 24, 2017",TRUE,
296,Arrow,S06E03,Next of Kin,"October 26, 2017",TRUE,
297,Supergirl,S03E04,The Faithful,"October 30, 2017",TRUE,
298,The Flash,S04E04,Elongated Journey Into Night,"October 31, 2017",TRUE,
299,DC's Legends of Tomorrow,S03E04,Phone Home,"October 31, 2017",TRUE,
300,Arrow,S06E04,Reversal,"November 02, 2017",TRUE,
301,Supergirl,S03E05,Damage,"November 06, 2017",TRUE,
302,The Flash,S04E05,Girls Night Out,"November 07, 2017",TRUE,
303,DC's Legends of Tomorrow,S03E05,Return of the Mack,"November 07, 2017",TRUE,
304,Arrow,S06E05,Deathstroke Returns,"November 09, 2017",TRUE,
305,Supergirl,S03E06,Midvale,"November 13, 2017",TRUE,
306,The Flash,S04E06,When Harry Met Harry...,"November 14, 2017",TRUE,
307,DC's Legends of Tomorrow,S03E06,Helen Hunt,"November 14, 2017",TRUE,
308,Arrow,S06E06,Promises Kept,"November 16, 2017",TRUE,
309,Supergirl,S03E07,Wake Up,"November 20, 2017",TRUE,
310,The Flash,S04E07,Therefore I Am,"November 21, 2017",TRUE,
311,DC's Legends of Tomorrow,S03E07,Welcome to the Jungle,"November 21, 2017",TRUE,
312,Arrow,S06E07,Thanksgiving,"November 23, 2017",TRUE,
313,Supergirl,S03E08,"Crisis on Earth-X, Part 1","November 27, 2017",TRUE,
314,Arrow,S06E08,"Crisis on Earth-X, Part 2","November 27, 2017",TRUE,
315,The Flash,S04E08,"Crisis on Earth-X, Part 3","November 28, 2017",TRUE,
316,DC's Legends of Tomorrow,S03E08,"Crisis on Earth-X, Part 4","November 28, 2017",TRUE,
317,Supergirl,S03E09,Reign,"December 04, 2017",TRUE,
318,The Flash,S04E09,Don't Run,"December 05, 2017",TRUE,
319,DC's Legends of Tomorrow,S03E09,Beebo the God of War,"December 05, 2017",TRUE,
320,Arrow,S06E09,Irreconcilable Differences,"December 07, 2017",TRUE,
321,Freedom Fighters: The Ray,S01E01,Episode One,"December 08, 2017",TRUE,
322,Freedom Fighters: The Ray,S01E02,Episode Two,"December 08, 2017",TRUE,
323,Freedom Fighters: The Ray,S01E03,Episode Three,"December 08, 2017",TRUE,
324,Freedom Fighters: The Ray,S01E04,Episode Four,"December 08, 2017",TRUE,
325,Freedom Fighters: The Ray,S01E05,Episode Five,"December 08, 2017",TRUE,
326,Freedom Fighters: The Ray,S01E06,Episode Six,"December 08, 2017",TRUE,
327,Supergirl,S03E10,Legion of Super-Heroes,"January 15, 2018",TRUE,
328,The Flash,S04E10,The Trial of The Flash,"January 16, 2018",TRUE,
329,Black Lightning,S01E01,The Resurrection,"January 16, 2018",TRUE,
330,Arrow,S06E10,Divided,"January 18, 2018",TRUE,
331,Supergirl,S03E11,Fort Rozz,"January 22, 2018",TRUE,
332,The Flash,S04E11,The Elongated Knight Rises,"January 23, 2018",TRUE,
333,Black Lightning,S01E02,Lawanda: The Book of Hope,"January 23, 2018",TRUE,
334,Arrow,S06E11,We Fall,"January 25, 2018",TRUE,
335,Supergirl,S03E12,For Good,"January 29, 2018",TRUE,
336,The Flash,S04E12,"Honey, I Shrunk Team Flash","January 30, 2018",TRUE,
337,Black Lightning,S01E03,Lawanda: The Book of Burial,"January 30, 2018",TRUE,
338,Arrow,S06E12,All for Nothing,"February 01, 2018",TRUE,
339,Supergirl,S03E13,Both Sides Now,"February 05, 2018",TRUE,
340,The Flash,S04E13,True Colors,"February 06, 2018",TRUE,
341,Black Lightning,S01E04,Black Jesus,"February 06, 2018",TRUE,
342,Arrow,S06E13,The Devil's Greatest Trick,"February 08, 2018",TRUE,
343,DC's Legends of Tomorrow,S03E10,Daddy Darhkest,"February 12, 2018",TRUE,
344,Black Lightning,S01E05,And Then the Devil Brought the Plague: The Book of Green Light,"February 13, 2018",TRUE,
345,DC's Legends of Tomorrow,S03E11,Here I Go Again,"February 19, 2018",TRUE,
346,DC's Legends of Tomorrow,S03E12,The Curse of the Earth Totem,"February 26, 2018",TRUE,
347,The Flash,S04E14,Subject 9,"February 27, 2018",TRUE,
348,Black Lightning,S01E06,Three Sevens: The Book of Thunder,"February 27, 2018",TRUE,
349,Arrow,S06E14,Collision Course,"March 01, 2018",TRUE,
350,DC's Legends of Tomorrow,S03E13,No Country for Old Dads,"March 05, 2018",TRUE,
351,The Flash,S04E15,Enter Flashtime,"March 06, 2018",TRUE,
352,Black Lightning,S01E07,Equinox: The Book of Fate,"March 06, 2018",TRUE,
353,Arrow,S06E15,Doppelganger,"March 08, 2018",TRUE,
354,DC's Legends of Tomorrow,S03E14,Amazing Grace,"March 12, 2018",TRUE,
355,The Flash,S04E16,"Run, Iris, Run","March 13, 2018",TRUE,
356,Black Lightning,S01E08,The Book of Revelations,"March 13, 2018",TRUE,
357,DC's Legends of Tomorrow,S03E15,Necromancing the Stone,"March 19, 2018",TRUE,
358,Black Lightning,S01E09,The Book of Little Black Lies,"March 20, 2018",TRUE,
359,DC's Legends of Tomorrow,S03E16,"I, Ava","March 26, 2018",TRUE,
360,Black Lightning,S01E10,Sins of the Father: The Book of Redemption,"March 27, 2018",TRUE,
361,Arrow,S06E16,The Thanatos Guild,"March 29, 2018",TRUE,
362,DC's Legends of Tomorrow,S03E17,Guest Starring John Noble,"April 02, 2018",TRUE,
363,Black Lightning,S01E11,Black Jesus: The Book of Crucifixion,"April 03, 2018",TRUE,
364,Arrow,S06E17,Brothers in Arms,"April 05, 2018",TRUE,
365,DC's Legends of Tomorrow,S03E18,"The Good, The Bad and The Cuddly","April 09, 2018",TRUE,
366,The Flash,S04E17,Null and Annoyed,"April 10, 2018",TRUE,
367,Black Lightning,S01E12,The Resurrection and the Light: The Book of Pain,"April 10, 2018",TRUE,
368,Arrow,S06E18,Fundamentals,"April 12, 2018",TRUE,
369,Supergirl,S03E14,Schott Through the Heart,"April 16, 2018",TRUE,
370,The Flash,S04E18,Lose Yourself,"April 17, 2018",TRUE,
371,Black Lightning,S01E13,Shadow of Death: The Book of War,"April 17, 2018",TRUE,
372,Arrow,S06E19,The Dragon,"April 19, 2018",TRUE,
373,Supergirl,S03E15,In Search of Lost Time,"April 23, 2018",TRUE,
374,The Flash,S04E19,Fury Rogue,"April 24, 2018",TRUE,
375,Arrow,S06E20,Shifting Allegiances,"April 26, 2018",TRUE,
376,Supergirl,S03E16,Of Two Minds,"April 30, 2018",TRUE,
377,The Flash,S04E20,Therefore She Is,"May 01, 2018",TRUE,
378,Arrow,S06E21,Docket No. 11-19-41-73,"May 03, 2018",TRUE,
379,Supergirl,S03E17,Trinity,"May 07, 2018",TRUE,
380,The Flash,S04E21,Harry and the Harrisons,"May 08, 2018",TRUE,
381,Arrow,S06E22,The Ties That Bind,"May 10, 2018",TRUE,
